123,777,762,484,980,39,998,276,728,585,371,694,879,133,626,213,187,530,74,741,780,625,155,283,300,192,344,74,201,990,240,806,119,425,195,360,678,54,137,534,525,215,210,18,507,354,60,1008,69,89,231,127,800,255
209,171,608,222,37,140,94,677,380,503,199,706,193,292,300,366,36,735,241,974,918,329,402,130,135,707,118,696,702,375,586,30,389,935,499,967,592,723,52,407,788,616,881,490,214,123,605,662,662,201,21,322,986,612
492,654,208,556,971,413,686,272,993,276,242,447,591,493,214,380,388,98,632,180,293,987,854,648,329,95,739,914,2,608,358,858,997,376,44,882,786,899,545,883,247,992,682,182,982,136,46,50,773,802,495,115,415,571
245,519,989,768,933,453,525,27,285,830,634,207,324,52,580,383,673,824,870,360,858,600,380,599,6,636,344,948,788,499,291,912,696,24,794,977,375,589,838,956,367,137,403,868,971,499,957,747,147,866,627,854,441,290
24,359,93,30,593,201,504,1003,846,20,405,334,277,989,988,848,703,125,980,41,13,328,1015,265,258,482,101,28,794,651,312,16,1010,594,616,565,1003,963,531,116,397,525,193,461,317,889,408,140,2,881,399,913,318,797
897,728,106,547,781,893,855,1009,507,881,724,384,617,445,801,628,318,864,824,523,498,278,538,561,959,598,214,318,133,451,397,507,778,358,256,183,85,662,705,407,419,812,702,412,803,574,547,672,399,833,51,414,909,62
933,636,25,994,189,132,210,928,205,28,79,241,418,133,852,502,80,466,687,222,279,259,579,280,558,373,369,624,823,770,475,486,891,882,945,59,547,991,466,535,684,547,804,297,519,733,212,698,908,391,660,913,464,888
873,107,351,780,197,799,723,765,321,165,58,509,267,185,590,891,624,795,634,296,163,976,266,14,367,581,460,165,965,149,991,223,432,195,453,171,671,131,351,46,216,528,304,451,212,295,903,34,68,302,607,755,240,244
375,752,963,405,509,412,64,729,606,763,794,185,375,401,603,704,241,411,262,679,660,964,685,308,558,900,605,13,813,637,986,245,411,310,254,55,478,988,472,216,67,930,344,52,630,542,408,1004,927,893,326,641,999,953
270,903,268,50,960,841,892,726,414,163,1005,573,487,539,357,24,162,320,963,431,892,930,445,765,41,801,902,191,109,548,600,989,613,490,738,586,966,534,422,574,573,87,394,899,41,824,226,926,833,854,298,901,889,26
185,179,718,489,1009,934,293,515,296,480,1012,771,84,10,458,227,677,745,393,407,586,990,614,279,368,514,871,575,305,995,428,24,497,707,112,895,1006,320,844,278,845,455,553,633,882,724,133,401,736,463,925,764,144,461
380,337,418,22,899,648,807,884,120,944,122,233,183,500,160,975,936,584,1020,207,603,93,37,543,521,435,636,163,977,247,752,572,774,971,376,948,566,438,476,586,125,267,456,265,684,14,545,73,997,818,593,812,114,525
360,850,101,996,880,961,889,183,339,179,865,529,51,18,143,406,306,24,491,779,158,461,596,43,637,735,964,226,411,104,646,837,786,379,570,79,507,349,447,181,572,1015,959,242,1010,90,344,803,78,455,51,64,24,531
