996,746,89,760,450,680,239,11,654,400,752,795,318,820,502,242,955,278,67,465,167,445,639,10,617,258,271,663,1012,752,612,341,87,149,560,46,202,701,1011,351,712,544,107,925,25,829,928,511,401,571,894,550,95,425,10,641,136,918,12,400,876,586,841,162
784,813,41,48,281,639,59,1006,297,549,548,473,81,453,198,331,701,864,792,468,457,57,520,67,253,946,11,584,869,970,687,236,614,477,244,571,329,215,548,650,312,590,323,559,572,942,60,445,884,374,813,43,160,2,573,881,444,189,746,758,763,470,374,775
501,504,624,907,580,337,881,448,621,561,444,811,841,504,612,751,9,771,574,905,137,959,345,683,700,424,679,129,28,867,576,261,198,848,283,218,136,904,885,1012,948,304,889,345,231,678,944,252,668,366,44,295,836,778,116,563,328,963,379,349,667,444,210,28
253,303,673,696,73,1000,470,529,181,112,242,241,273,208,277,578,846,923,150,414,445,430,269,895,477,288,370,133,914,205,704,638,414,351,263,679,307,36,506,555,244,766,276,346,376,788,830,653,903,122,51,159,266,1007,58,1,942,417,488,15,151,79,117,411
780,819,293,76,67,552,641,278,959,859,956,175,885,220,371,703,151,604,338,382,446,892,282,616,422,112,702,649,825,16,860,130,599,513,681,749,865,425,465,983,304,754,619,895,227,246,257,1012,986,413,704,870,403,940,600,718,361,230,124,129,91,597,34,791
348,241,569,590,563,515,863,687,177,809,362,437,162,197,381,139,857,561,753,321,382,221,532,6,391,918,181,659,600,862,904,834,705,122,378,394,582,353,649,595,654,115,569,973,136,493,57,452,710,451,647,325,563,820,409,330,657,181,196,537,74,382,95,212
489,276,502,199,897,754,964,529,961,146,619,852,876,187,1001,492,117,943,848,104,397,20,691,326,4,994,521,573,366,374,946,29,686,624,62,95,35,724,299,559,77,30,334,986,109,149,909,195,234,912,69,741,385,253,968,807,286,655,824,839,710,489,160,205
634,16,355,955,289,751,950,450,1000,961,899,223,78,572,560,639,328,971,347,631,635,37,955,910,906,586,826,111,217,858,917,926,392,747,124,824,296,657,840,652,41,239,793,495,257,427,976,927,534,107,803,803,125,537,483,247,414,845,369,195,722,672,798,686
629,200,259,55,970,291,796,210,411,276,815,393,287,913,452,861,519,327,233,57,733,126,125,888,256,673,816,657,26,811,737,35,8,478,708,507,633,282,930,670,832,919,648,155,145,778,580,326,215,548,659,109,185,921,731,232,493,929,562,27,498,566,32,677
646,125,657,780,460,704,245,434,340,423,523,6,149,295,132,136,1006,891,677,720,747,502,385,497,279,752,628,571,120,732,800,796,103,842,533,577,742,652,902,375,162,249,0,375,81,409,563,752,378,580,960,358,912,587,673,85,47,541,14,304,694,276,380,204
470,789,776,743,988,323,76,733,318,717,754,933,863,819,886,59,22,400,112,178,101,305,240,857,914,810,250,552,35,64,758,991,793,677,858,330,638,239,454,966,856,68,33,594,980,684,51,321,479,85,1,757,56,306,76,434,942,410,775,482,1007,833,581,277
57,364,615,464,311,215,856,663,882,754,363,555,236,367,648,198,68,739,953,19,321,625,796,310,972,183,554,1009,820,724,480,203,256,172,968,915,645,295,537,276,534,866,624,578,681,311,657,658,749,856,987,223,503,386,80,508,837,236,100,332,1016,251,530,22
565,733,570,252,323,839,888,587,273,76,217,365,810,470,699,223,129,466,373,189,794,472,677,944,442,725,167,436,692,422,537,293,95,620,595,383,1016,117,547,215,341,453,1017,701,110,791,854,927,402,338,796,885,422,917,593,418,806,578,694,880,481,598,719,47
731,246,107,171,750,485,109,512,378,647,202,285,201,630,153,536,428,975,557,20,758,299,799,17,641,7,115,980,108,211,140,164,860,735,662,465,300,517,702,368,116,929,532,154,93,788,147,37,249,167,843,562,383,635,58,693,225,5,756,261,364,43,994,903
312,634,376,11,972,921,373,486,206,597,128,774,291,920,506,455,317,315,731,51,23,807,700,318,585,288,590,363,258,44,278,95,270,743,135,923,636,143,269,405,204,716,328,982,456,640,92,897,591,312,341,298,651,104,753,242,408,573,801,856,270,183,23,375
385,752,925,342,548,315,872,319,182,77,31,531,140,55,639,301,247,651,625,1014,993,4,638,479,760,378,463,598,160,197,67,68,234,117,512,67,523,324,112,162,757,513,336,436,919,951,556,567,561,421,442,446,906,994,1011,437,705,956,98,835,182,1009,35,228
547,412,595,969,70,744,482,813,517,805,207,656,27,43,552,768,722,488,325,58,588,851,176,913,780,486,58,712,624,38,900,815,386,836,14,86,47,806,215,884,573,12,859,489,701,316,988,212,157,699,962,251,1006,904,526,779,445,839,267,236,364,139,460,537
66,249,405,355,834,279,409,696,208,380,462,539,5,500,270,654,590,195,59,456,699,562,675,522,507,26,534,236,717,683,69,480,927,760,290,299,814,677,548,945,526,841,648,530,755,973,503,171,85,846,126,1004,384,373,195,527,1019,933,419,509,907,823,407,53
1019,289,329,381,379,262,162,662,673,177,289,466,35,176,714,645,704,639,437,274,375,953,823,902,990,613,904,854,43,77,397,157,585,384,645,975,774,333,531,770,526,477,953,131,300,588,500,542,1013,241,620,611,120,274,129,350,908,255,400,680,310,607,871,866
378,943,227,448,708,374,26,722,710,676,581,443,316,515,30,410,835,619,435,557,260,787,202,889,620,388,1001,753,96,935,403,440,792,418,62,469,990,792,549,413,65,7,948,707,591,606,385,400,318,785,888,478,9,34,390,329,727,1004,646,664,227,23,995,823
585,38,164,344,919,853,278,1020,838,402,729,403,338,697,819,183,733,353,765,626,398,689,455,892,449,370,1005,789,735,525,217,181,763,180,344,163,714,902,833,78,39,798,462,428,244,625,63,242,845,609,244,187,297,863,111,822,800,225,501,129,334,123,749,249
733,928,917,924,201,781,931,242,168,801,536,202,618,35,207,687,784,612,475,688,920,39,145,1014,221,227,50,243,318,947,981,561,451,725,38,751,7,322,21,400,498,817,746,756,702,399,445,113,561,622,589,279,79,872,965,519,696,806,89,1000,984,533,523,57
390,110,169,890,313,216,760,731,889,248,364,105,669,94,644,687,902,184,752,34,717,175,80,288,157,970,109,613,655,890,796,761,921,401,747,751,417,635,53,822,893,727,161,858,97,726,185,947,960,721,646,763,737,483,507,374,710,677,200,769,944,320,834,94
859,839,394,436,425,964,907,916,370,689,714,612,942,947,751,188,953,908,754,1009,844,293,245,581,763,0,381,587,322,759,82,830,446,424,18,328,747,661,693,623,668,970,123,761,890,470,910,745,930,704,589,929,597,417,116,953,359,494,425,505,760,909,930,833
74,690,327,994,616,284,504,987,242,158,2,189,428,942,637,658,472,557,142,798,916,98,686,550,880,97,972,1001,869,940,313,489,414,305,509,503,935,948,353,210,171,448,880,964,876,595,341,142,594,13,153,559,520,910,247,904,861,500,411,354,494,730,115,77
737,361,272,250,539,144,816,501,1004,68,211,605,774,118,649,618,525,388,419,272,759,376,875,917,108,351,842,574,717,1020,14,549,786,535,10,488,35,718,404,225,210,215,657,900,944,126,167,101,867,640,4,948,26,943,96,862,268,872,223,47,93,703,135,271
536,53,539,702,316,4,902,92,192,751,9,254,195,752,632,975,441,745,896,47,594,106,722,571,234,766,442,596,672,765,735,531,64,860,914,208,47,167,609,723,648,834,692,167,357,193,166,925,255,496,374,166,428,222,987,910,348,387,758,563,362,846,950,790
285,893,26,270,403,411,534,713,247,204,522,12,852,571,21,47,603,567,39,534,677,543,139,215,375,15,978,340,249,568,355,405,666,524,1001,308,304,220,637,497,412,681,223,90,506,485,823,549,825,56,789,565,665,145,61,1014,495,208,1,540,312,305,563,931
659,643,101,909,361,477,323,996,936,813,905,492,874,1015,64,297,906,89,822,553,885,826,975,800,94,573,885,495,801,568,621,479,397,1015,238,332,581,684,607,635,372,594,955,306,21,66,322,15,571,905,763,192,121,991,258,449,412,232,567,344,253,721,180,700
356,226,578,355,809,957,13,326,170,470,354,307,875,799,848,539,603,945,197,805,775,468,19,483,300,237,271,532,237,260,695,704,397,847,521,738,737,902,422,730,439,136,268,850,16,940,166,485,995,796,533,709,602,896,568,702,706,91,402,553,83,789,566,956
691,1020,541,275,771,633,699,640,810,582,263,858,950,860,365,185,255,429,873,281,203,424,504,289,127,319,294,406,450,18,183,789,597,276,14,853,721,976,1009,360,427,272,137,771,657,239,123,154,116,77,498,565,469,821,585,706,454,460,404,376,755,412,479,505
564,401,587,184,651,328,550,861,527,445,311,189,454,697,899,97,988,378,975,174,172,979,459,195,792,849,484,740,854,1009,282,1014,910,649,742,341,30,507,83,139,205,73,225,847,791,345,784,239,912,517,494,213,647,124,452,350,944,741,1000,496,813,129,215,169
213,141,770,62,614,901,169,244,82,947,663,62,94,502,202,342,861,360,855,680,589,184,334,727,849,591,773,622,688,655,406,890,338,559,792,151,234,797,407,62,966,713,867,957,347,401,513,898,779,716,36,117,100,863,567,614,808,518,755,547,75,508,40,277
516,541,484,388,76,418,72,79,466,375,537,456,734,265,878,108,423,293,499,351,646,101,244,270,780,591,34,541,120,899,873,453,2,654,3,837,370,430,27,837,586,115,326,928,627,87,452,436,701,564,482,686,511,827,666,697,970,809,973,258,791,219,474,682
574,469,984,470,354,125,147,575,898,414,482,85,119,616,430,1014,105,185,989,502,846,176,799,1020,915,974,875,701,657,691,19,28,652,621,207,893,74,762,850,165,674,527,470,723,233,481,317,1014,30,922,757,881,962,14,635,392,450,992,498,567,952,729,347,506
181,406,60,705,130,859,929,640,225,1019,966,94,757,662,477,208,290,300,921,252,469,376,376,289,582,11,996,718,701,697,457,36,158,841,524,876,468,489,567,15,396,408,936,829,307,892,3,28,196,189,944,975,648,411,796,359,978,192,95,97,602,328,440,152
778,991,869,124,252,356,664,366,765,175,318,903,189,82,286,74,726,320,719,845,559,864,452,183,461,761,149,167,835,947,256,89,164,950,451,868,450,287,668,869,396,929,121,558,844,844,352,225,18,97,577,549,26,130,598,408,485,234,482,579,189,831,321,64
611,621,258,678,100,957,456,943,716,250,527,871,1019,996,755,521,884,337,422,952,646,540,261,787,363,719,447,651,712,750,316,899,554,775,19,724,264,409,593,611,715,798,184,282,732,878,414,277,886,53,296,91,647,877,657,683,271,897,485,847,621,512,559,460
642,471,1,748,101,210,532,147,479,858,254,604,625,429,365,695,406,747,500,453,510,379,179,956,802,970,345,392,871,722,648,1005,42,462,524,624,288,437,347,135,485,302,462,54,775,822,284,973,519,419,116,765,495,257,405,296,834,320,386,219,110,305,142,713
