1014,0,1014,1012,1013,1014,1014,1014,1011,1018,1013,1012,1015,1009,1014,1020,1013,1009,1016,1012,1017,1010,1009,1013,1018,1017,1013,1013,1010,1014,1017,1012,1012,1011,0,1019,1012,1017,1011,1014,1013,1013,1019,1011,1008,1015,1011,1011,1016,1012,1011,1014,1010,1013,1015,1012,1014,1019,1017,1012,1013,1011,1014,1014,1015
6,0,4,3,1,10,5,4,9,2,2,3,10,5,8,4,5,2,6,1,4,5,1019,2,5,0,6,7,6,0,4,5,7,3,8,2,1,3,4,10,3,2,1,8,1,4,7,4,3,1,8,0,1018,1,10,2,1018,8,3,6,5,5,8,5,3
1018,0,1014,1017,0,1018,1018,1010,1015,1019,0,1020,1,1017,1020,1013,1019,1011,1019,0,1016,1014,0,1013,1011,1014,1016,1018,1018,1017,1019,1014,1020,1020,1016,1015,1020,1018,2,1020,1018,3,1015,1016,1019,1017,1016,1017,1014,1019,1020,1017,1020,1019,1016,1015,1020,1013,1016,1015,1015,1014,1014,1014,1018
1016,0,1011,1020,1,1017,1020,1017,1017,1017,1,1016,1014,1018,1016,2,1010,1012,1,0,1016,1019,1018,1018,1018,1020,1,1012,1008,1019,1016,0,1017,1018,1015,1019,1014,1020,1010,1018,1019,1015,1019,1012,1018,1015,1018,1018,1017,1015,3,1020,0,1013,0,1015,1020,0,1015,1018,1020,1010,1014,1016,1017
8,0,2,8,5,9,9,7,4,8,2,8,5,2,12,10,6,2,4,7,4,9,9,12,6,12,11,9,4,7,12,11,4,9,4,10,6,5,6,11,6,7,7,9,14,13,3,6,8,6,7,7,6,9,9,10,6,8,11,11,6,3,5,2,6
1020,0,2,1,1019,2,2,1019,2,3,1020,4,1020,4,2,4,2,1,0,1019,3,0,8,4,1,4,1020,3,1,1,3,5,1020,1016,1019,2,3,1,1,5,1020,1019,2,5,2,2,4,4,4,5,1,1018,5,1019,11,5,1,1020,3,2,1,1020,2,3,1020
1020,0,1014,1020,1020,1014,1013,1019,1018,3,2,1016,0,1017,1019,1019,1013,1015,1019,1017,1019,1013,1016,3,2,0,1,1016,1018,1017,1015,1017,2,1016,1020,0,1020,1020,3,0,1018,1018,0,1015,1020,1018,1020,1017,1013,2,1018,1,1019,1014,4,1015,2,1014,1018,0,1016,1016,1020,1016,3
2,0,1018,3,4,3,5,3,5,6,4,0,4,1020,2,5,4,2,1018,1019,6,0,4,1,5,3,1019,6,0,4,1,0,1,0,4,3,0,3,6,5,2,1018,3,0,5,6,0,2,1,1020,4,1020,6,5,7,3,0,1,1019,3,1020,2,3,2,11
1,0,10,9,11,3,6,7,6,5,6,9,5,6,4,10,11,6,5,5,5,4,7,7,2,4,7,5,7,12,2,6,2,14,9,1,8,2,13,8,7,12,9,8,2,5,11,3,7,6,8,6,5,8,7,3,6,3,2,6,5,5,11,7,1
1016,0,1014,1017,1015,1020,1015,2,1015,1020,1013,1019,1018,2,0,1015,1019,2,1016,0,1014,1013,1018,3,1017,1012,1018,1015,3,1020,1020,1018,1018,1015,1017,1020,1019,1018,1020,1013,1017,1020,1013,1012,1015,6,1013,1,1020,1012,1015,1011,1019,1014,2,1018,4,1019,1020,1016,1017,1018,2,1020,1
